,accession,start,end,strand,gene_name,old_locus_tag,gene_product,ncbi_protein,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
b0480,U00096.3,504914,506566,+,ushA,,5'-nucleotidase/UDP-sugar hydrolase,AAC73582.1,316407.85674619,0.0,1107.0,"COG0737@1|root,COG0737@2|Bacteria,1MX03@1224|Proteobacteria,1RPX3@1236|Gammaproteobacteria,3XM6V@561|Escherichia",2|Bacteria,F,Belongs to the 5'-nucleotidase family,ushA,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005623,GO:0006139,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008252,GO:0008253,GO:0008768,GO:0009225,GO:0009987,GO:0016311,GO:0016462,GO:0016787,GO:0016788,GO:0016791,GO:0016817,GO:0016818,GO:0030288,GO:0030313,GO:0031975,GO:0034641,GO:0042578,GO:0042597,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044281,GO:0044464,GO:0046483,GO:0046872,GO:0055086,GO:0071704,GO:1901135,GO:1901360","3.1.3.5,3.6.1.45",ko:K11751,"ko00230,ko00240,ko00760,ko01100,ko01110,map00230,map00240,map00760,map01100,map01110",-,"R00183,R00511,R00963,R01126,R01227,R01569,R01664,R01968,R02088,R02102,R02323,R02719,R03346",RC00017,"ko00000,ko00001,ko01000",-,-,"iEC55989_1330.EC55989_0493,iECIAI1_1343.ECIAI1_0483,iECO103_1326.ECO103_0456,iECSE_1348.ECSE_0505","5_nucleotid_C,Metallophos"
b0481,U00096.3,506603,507082,-,ybaK,,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,AAC73583.1,316407.85674620,7.39e-108,311.0,"COG2606@1|root,COG2606@2|Bacteria,1RGX5@1224|Proteobacteria,1S6S0@1236|Gammaproteobacteria,3XP18@561|Escherichia",2|Bacteria,J,Belongs to the prolyl-tRNA editing family. YbaK EbsC subfamily,ybaK,"GO:0002161,GO:0002196,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006399,GO:0006417,GO:0006450,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009314,GO:0009628,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010165,GO:0010212,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0016070,GO:0016787,GO:0016788,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032268,GO:0032270,GO:0034248,GO:0034250,GO:0034641,GO:0034660,GO:0043170,GO:0043906,GO:0043907,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0045727,GO:0045903,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0052689,GO:0060255,GO:0065007,GO:0065008,GO:0071704,GO:0080090,GO:0090304,GO:0106074,GO:0140098,GO:0140101,GO:1901360,GO:2000112",-,"ko:K03976,ko:K19055",-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,tRNA_edit
b0482,U00096.3,507286,508080,-,ybaP,,TraB family protein YbaP,AAC73584.1,316407.85674621,2.07e-193,536.0,"COG3735@1|root,COG3735@2|Bacteria,1MVCW@1224|Proteobacteria,1RRI8@1236|Gammaproteobacteria,3XN0U@561|Escherichia",2|Bacteria,S,TraB family,ybaP,-,-,ko:K09973,-,-,-,-,ko00000,-,-,-,TraB
b0483,U00096.3,508218,508559,+,ybaQ,,DNA-binding transcriptional regulator YbaQ,AAC73585.2,155864.EDL933_0559,4.2500000000000004e-73,220.0,"COG3093@1|root,COG3093@2|Bacteria,1N76J@1224|Proteobacteria,1SCYV@1236|Gammaproteobacteria,3XQ5N@561|Escherichia",2|Bacteria,K,sequence-specific DNA binding,ybaQ,"GO:0008150,GO:0009636,GO:0042221,GO:0050896",-,ko:K21498,-,-,-,-,"ko00000,ko02048",-,-,-,"HTH_3,HTH_31"
b0484,U00096.3,508875,511379,-,copA,,Cu(+) exporting P-type ATPase,AAC73586.1,316407.85674623,0.0,1560.0,"COG2217@1|root,COG2217@2|Bacteria,1MU08@1224|Proteobacteria,1RN2C@1236|Gammaproteobacteria,3XNB5@561|Escherichia",2|Bacteria,P,Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IB subfamily,copA,"GO:0000041,GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006825,GO:0006950,GO:0008150,GO:0008324,GO:0009636,GO:0009987,GO:0010035,GO:0010038,GO:0010272,GO:0010273,GO:0015075,GO:0015080,GO:0015318,GO:0015399,GO:0015405,GO:0015662,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0034220,GO:0035434,GO:0042221,GO:0042623,GO:0042625,GO:0042626,GO:0043492,GO:0044425,GO:0044459,GO:0044464,GO:0046688,GO:0046873,GO:0046915,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0060003,GO:0061687,GO:0070887,GO:0071241,GO:0071248,GO:0071280,GO:0071292,GO:0071944,GO:0090662,GO:0097501,GO:0098655,GO:0098660,GO:0098662,GO:0098754,GO:0099131,GO:1902601,GO:1990169",3.6.3.54,ko:K17686,"ko01524,ko04016,map01524,map04016",-,R00086,RC00002,"ko00000,ko00001,ko01000",3.A.3.5,-,"iEC55989_1330.EC55989_0497,iECIAI1_1343.ECIAI1_0487,iECO103_1326.ECO103_0460,iECSE_1348.ECSE_0509,iECW_1372.ECW_m0557,iEKO11_1354.EKO11_3363,iWFL_1372.ECW_m0557","E1-E2_ATPase,HMA,Hydrolase"
b0485,U00096.3,511641,512573,+,glsA,,glutaminase 1,AAC73587.1,316407.85674624,4.79e-222,612.0,"COG2066@1|root,COG2066@2|Bacteria,1MWB5@1224|Proteobacteria,1RMY9@1236|Gammaproteobacteria,3XMCV@561|Escherichia",2|Bacteria,E,Belongs to the glutaminase family,glsA,"GO:0003674,GO:0003824,GO:0004359,GO:0006082,GO:0006520,GO:0006536,GO:0006537,GO:0006541,GO:0006543,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009056,GO:0009058,GO:0009063,GO:0009064,GO:0009065,GO:0009084,GO:0009268,GO:0009628,GO:0009987,GO:0010447,GO:0016043,GO:0016053,GO:0016054,GO:0016787,GO:0016810,GO:0016811,GO:0019752,GO:0022607,GO:0040008,GO:0043436,GO:0043648,GO:0043650,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044281,GO:0044282,GO:0044283,GO:0045926,GO:0046394,GO:0046395,GO:0048519,GO:0050789,GO:0050896,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0065003,GO:0065007,GO:0071704,GO:0071840,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901605,GO:1901606,GO:1901607",3.5.1.2,ko:K01425,"ko00220,ko00250,ko00471,ko01100,ko04724,ko04727,ko04964,ko05206,ko05230,map00220,map00250,map00471,map01100,map04724,map04727,map04964,map05206,map05230",-,"R00256,R01579","RC00010,RC02798","ko00000,ko00001,ko01000",-,-,"e_coli_core.b0485,iAF1260.b0485,iB21_1397.B21_00441,iBWG_1329.BWG_0366,iECBD_1354.ECBD_3171,iECB_1328.ECB_00436,iECDH10B_1368.ECDH10B_0442,iECDH1ME8569_1439.ECDH1ME8569_0469,iECD_1391.ECD_00436,iECO111_1330.ECO111_0520,iETEC_1333.ETEC_0537,iEcDH1_1363.EcDH1_3125,iJO1366.b0485,iJR904.b0485,iUMNK88_1353.UMNK88_538,iY75_1357.Y75_RS02500","Ank_4,Glutaminase"
b0486,U00096.3,512576,513868,+,ybaT,,putative transporter YbaT,AAC73588.1,316407.85674625,1.35e-284,780.0,"COG0531@1|root,COG0531@2|Bacteria,1QVWZ@1224|Proteobacteria,1T2MA@1236|Gammaproteobacteria,3XPI4@561|Escherichia",2|Bacteria,E,transport protein,ybaT,"GO:0005575,GO:0005623,GO:0005886,GO:0006950,GO:0008150,GO:0009268,GO:0009628,GO:0010035,GO:0010038,GO:0016020,GO:0042221,GO:0044464,GO:0046688,GO:0050896,GO:0071944,GO:0097501,GO:1990169",-,ko:K16263,-,-,-,-,"ko00000,ko02000",2.A.3.13,-,-,AA_permease_2
b0487,U00096.3,513993,514400,+,cueR,,DNA-binding transcriptional dual regulator CueR,AAC73589.1,316407.85674626,2.54e-92,270.0,"COG0789@1|root,COG0789@2|Bacteria,1RGX6@1224|Proteobacteria,1S8ZG@1236|Gammaproteobacteria,3XPJ0@561|Escherichia",2|Bacteria,K,Regulates the transcription of the copA and cueO genes. It detects cytoplasmic copper stress and activates transcription in response to increasing copper concentrations,cueR,"GO:0000976,GO:0000984,GO:0000986,GO:0000987,GO:0001017,GO:0001067,GO:0001121,GO:0001130,GO:0001131,GO:0001140,GO:0001199,GO:0001204,GO:0001216,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005507,GO:0005515,GO:0005575,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010035,GO:0010038,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032774,GO:0032991,GO:0032993,GO:0034641,GO:0034645,GO:0034654,GO:0042221,GO:0042802,GO:0043167,GO:0043169,GO:0043170,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0045893,GO:0045935,GO:0046483,GO:0046872,GO:0046914,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051716,GO:0060255,GO:0065007,GO:0070887,GO:0071241,GO:0071248,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2001141",-,"ko:K13638,ko:K19591",-,M00769,-,-,"ko00000,ko00002,ko01504,ko03000",-,-,-,"MerR,MerR-DNA-bind,MerR_1"
b0488,U00096.3,514401,514859,-,ybbJ,,NfeD-like family protein YbbJ,AAC73590.2,511145.b0488,2.95e-106,306.0,"COG1585@1|root,COG1585@2|Bacteria,1N241@1224|Proteobacteria,1S5W4@1236|Gammaproteobacteria,3XPSV@561|Escherichia",2|Bacteria,OU,"NfeD-like C-terminal, partner-binding",ybbJ,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,ko:K07340,-,-,-,-,ko00000,-,-,-,NfeD
b0489,U00096.3,514856,515773,-,qmcA,,PHB domain-containing protein QmcA,AAC73591.1,316407.85674628,2.71e-159,453.0,"COG0330@1|root,COG0330@2|Bacteria,1MUM8@1224|Proteobacteria,1RNW8@1236|Gammaproteobacteria,3XNCK@561|Escherichia",2|Bacteria,O,Identified as a multi-copy suppressor of an FtsH HtpX protease double disruption mutant. May play a role in the quality control of integral membrane proteins,qmcA,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,-,-,-,-,-,-,-,-,-,"Band_7,Band_7_C"
b0490,U00096.3,515919,516596,+,fetA,,putative iron ABC exporter ATP-binding subunit FetA,AAC73592.1,316407.85674629,2.0600000000000002e-160,449.0,"COG4619@1|root,COG4619@2|Bacteria,1NZKM@1224|Proteobacteria,1RQ94@1236|Gammaproteobacteria,3XPEP@561|Escherichia",2|Bacteria,P,"Part of the ABC transporter complex FetAB, which is probably involved in iron export and enhances resistance to H(2)O(2)-mediated oxidative stress. Probably responsible for energy coupling to the transport system",ybbL,"GO:0005575,GO:0005623,GO:0005886,GO:0006873,GO:0006875,GO:0006879,GO:0008150,GO:0009987,GO:0016020,GO:0019725,GO:0030003,GO:0042592,GO:0044464,GO:0046916,GO:0048878,GO:0050801,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0065007,GO:0065008,GO:0071944,GO:0098771",-,"ko:K02065,ko:K02068","ko02010,map02010","M00210,M00211,M00669,M00670",-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.27,-,-,ABC_tran
b0491,U00096.3,516583,517362,+,fetB,,putative iron ABC exporter membrane subunit FetB,AAC73593.2,316407.85674630,6.69e-167,468.0,"COG0390@1|root,COG0390@2|Bacteria,1MV2N@1224|Proteobacteria,1RSGA@1236|Gammaproteobacteria,3XPB6@561|Escherichia",2|Bacteria,S,"Part of the ABC transporter complex FetAB, which is probably involved in iron export and enhances resistance to H(2)O(2)-mediated oxidative stress. Probably responsible for the translocation of the substrate across the membrane",ybbM,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006873,GO:0006875,GO:0006879,GO:0008150,GO:0009987,GO:0015075,GO:0016020,GO:0016021,GO:0019725,GO:0022857,GO:0030003,GO:0031224,GO:0031226,GO:0034220,GO:0042592,GO:0044425,GO:0044459,GO:0044464,GO:0046916,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071944,GO:0098771",-,ko:K02069,-,M00211,-,-,"ko00000,ko00002,ko02000",9.B.25.1,-,-,UPF0014
b0492,U00096.3,517425,518279,-,cnoX,,chaperedoxin,AAC73594.2,316407.85674631,5.03e-195,541.0,"COG3118@1|root,COG3118@2|Bacteria,1MV0R@1224|Proteobacteria,1RMSQ@1236|Gammaproteobacteria,3XNYC@561|Escherichia",2|Bacteria,O,protein disulfide oxidoreductase activity,ybbN,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0008150,GO:0008152,GO:0009987,GO:0015035,GO:0015036,GO:0016491,GO:0016667,GO:0044424,GO:0044444,GO:0044464,GO:0055114,GO:0061077",-,"ko:K03671,ko:K05838","ko04621,ko05418,map04621,map05418",-,-,-,"ko00000,ko00001,ko03110",-,-,-,"TPR_19,TPR_20,Thioredoxin"
b0493,U00096.3,518340,519149,-,ybbO,,NADP(+)-dependent aldehyde reductase YbbO,AAC73595.1,316407.85674632,5.05e-192,533.0,"COG0300@1|root,COG0300@2|Bacteria,1RGKZ@1224|Proteobacteria,1T1HV@1236|Gammaproteobacteria,3XPHF@561|Escherichia",2|Bacteria,S,alcohol dehydrogenase (NADP+) activity,ybbO,"GO:0003674,GO:0003824,GO:0004033,GO:0008106,GO:0008150,GO:0008152,GO:0016491,GO:0016614,GO:0016616,GO:0055114",-,ko:K07124,-,-,-,-,ko00000,-,-,-,adh_short
b0494,U00096.3,519139,519765,-,tesA,,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,AAC73596.1,,,,,,,,,,,,,,,,,,,,
b0495,U00096.3,519733,520419,+,ybbA,,putative ABC transporter ATP-binding protein YbbA,AAC73597.1,316407.85674634,4.12e-157,441.0,"COG4181@1|root,COG4181@2|Bacteria,1MXG9@1224|Proteobacteria,1RMG1@1236|Gammaproteobacteria,3XMIH@561|Escherichia",2|Bacteria,P,ATP-binding protein YbbA,ybbA,"GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0008144,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363",-,ko:K02003,-,M00258,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,ABC_tran
b0496,U00096.3,520416,522830,+,ybbP,,putative ABC transporter membrane subunit YbbP,AAC73598.1,316407.85674635,0.0,1538.0,"COG3127@1|root,COG3127@2|Bacteria,1MU9R@1224|Proteobacteria,1RM8Y@1236|Gammaproteobacteria,3XMBI@561|Escherichia",2|Bacteria,Q,FtsX-like permease family,ybbP,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,ko:K02004,-,M00258,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,FtsX
b0497,U00096.3,523261,527541,+,rhsD,,protein RhsD,AAC73599.1,316407.85674636,0.0,2569.0,"COG3209@1|root,COG3209@2|Bacteria,1MVV1@1224|Proteobacteria,1SKYM@1236|Gammaproteobacteria,3XQWR@561|Escherichia",2|Bacteria,M,Rhs elements have a nonessential function. They may play an important role in the natural ecology of the cell,rhsC,"GO:0006950,GO:0007154,GO:0008150,GO:0009267,GO:0009605,GO:0009987,GO:0009991,GO:0010438,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0042594,GO:0050896,GO:0051716,GO:0071496",-,-,-,-,-,-,-,-,-,-,"DUF4329,RHS,RHS_repeat"
b0498,U00096.3,527581,527949,+,ybbC,,PF15631 family protein YbbC,AAC73600.1,316407.85674637,2.76e-83,246.0,"2EV2G@1|root,33NHI@2|Bacteria,1NMGW@1224|Proteobacteria,1SGP1@1236|Gammaproteobacteria",2|Bacteria,S,NTF2 fold immunity protein,ybbC,-,-,-,-,-,-,-,-,-,-,-,Imm-NTF2-2
b0502,U00096.3,529645,530016,-,ylbG,,putative DNA-binding transcriptional regulator YlbG,AYC08181.1,316407.85674640,1.04e-83,247.0,"COG2801@1|root,COG2801@2|Bacteria,1MZ45@1224|Proteobacteria,1RSNX@1236|Gammaproteobacteria",2|Bacteria,L,COG2801 Transposase and inactivated derivatives,ylbG,-,-,-,-,-,-,-,-,-,-,-,"HTH_29,rve,rve_3"
b0503,U00096.3,530132,531226,-,selU,,tRNA 2-selenouridine synthase,AAC73605.1,316407.85674641,4.58e-270,738.0,"COG2603@1|root,COG2603@2|Bacteria,1N4T5@1224|Proteobacteria,1RPFP@1236|Gammaproteobacteria,3XP1I@561|Escherichia",2|Bacteria,J,Catalyzes the transfer of selenium from selenophosphate for conversion of 2-thiouridine to 2-selenouridine at the wobble position in tRNA,selU,"GO:0001887,GO:0002097,GO:0002098,GO:0003674,GO:0003824,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016785,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0043828,GO:0044237,GO:0044238,GO:0046483,GO:0070329,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360",-,ko:K06917,-,-,-,-,"ko00000,ko01000,ko03016",-,-,-,Rhodanese
b0504,U00096.3,531295,532221,-,allS,,DNA-binding transcriptional activator AllS,AAC73606.1,316407.85674642,4.0999999999999997e-222,612.0,"COG0583@1|root,COG0583@2|Bacteria,1P293@1224|Proteobacteria,1RNA3@1236|Gammaproteobacteria",2|Bacteria,K,Transcriptional regulator,allS,"GO:0001130,GO:0001216,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031334,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043254,GO:0043565,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2000142,GO:2000144,GO:2001141",-,ko:K10972,-,-,-,-,"ko00000,ko03000",-,-,-,"HTH_1,LysR_substrate"
b0505,U00096.3,532451,532933,+,allA,,ureidoglycolate lyase,AAC73607.1,316407.85674643,8e-117,333.0,"COG3194@1|root,COG3194@2|Bacteria,1RH5G@1224|Proteobacteria,1T0X7@1236|Gammaproteobacteria,3XQTI@561|Escherichia",2|Bacteria,F,"Catalyzes the catabolism of the allantoin degradation intermediate (S)-ureidoglycolate, generating urea and glyoxylate. Involved in the anaerobic utilization of allantoin as sole nitrogen source. Reinforces the induction of genes involved in the degradation of allantoin and glyoxylate by producing glyoxylate",allA,"GO:0003674,GO:0003824,GO:0016829,GO:0016840,GO:0016842,GO:0050385",4.3.2.3,ko:K01483,"ko00230,ko01100,map00230,map01100",-,R00776,"RC00153,RC00379","ko00000,ko00001,ko01000",-,-,"iAF1260.b0505,iBWG_1329.BWG_0382,iECDH10B_1368.ECDH10B_0461,iECDH1ME8569_1439.ECDH1ME8569_0489,iEcDH1_1363.EcDH1_3107,iJO1366.b0505,iJR904.b0505,iY75_1357.Y75_RS02595",Ureidogly_lyase
b0506,U00096.3,533011,533826,+,allR,,DNA-binding transcriptional repressor AllR,AAC73608.1,316407.85674644,4.65e-189,525.0,"COG1414@1|root,COG1414@2|Bacteria,1R5WB@1224|Proteobacteria,1RZAS@1236|Gammaproteobacteria",2|Bacteria,K,Negative regulator of allantoin and glyoxylate utilization operons. Binds to the gcl promoter and to the allS- allA intergenic region,allR,"GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032774,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0042802,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0045892,GO:0045934,GO:0046483,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051716,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141",-,"ko:K10973,ko:K13641",-,-,-,-,"ko00000,ko03000",-,-,-,"HTH_IclR,IclR"
b0507,U00096.3,533916,535697,+,gcl,,glyoxylate carboligase,AAC73609.1,316407.85674645,0.0,1172.0,"COG3960@1|root,COG3960@2|Bacteria,1MV88@1224|Proteobacteria,1RW45@1236|Gammaproteobacteria,3XQHP@561|Escherichia",2|Bacteria,S,Catalyzes the condensation of two molecules of glyoxylate to give 2-hydroxy-3-oxopropanoate (also termed tartronate semialdehyde),gcl,"GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0006066,GO:0006081,GO:0006082,GO:0008150,GO:0008152,GO:0009028,GO:0009056,GO:0009436,GO:0009441,GO:0009987,GO:0016054,GO:0016829,GO:0016830,GO:0016831,GO:0017144,GO:0019752,GO:0019842,GO:0030976,GO:0032787,GO:0034308,GO:0034310,GO:0036094,GO:0042737,GO:0042802,GO:0043167,GO:0043168,GO:0043169,GO:0043436,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0046164,GO:0046185,GO:0046296,GO:0046395,GO:0046487,GO:0048037,GO:0050660,GO:0050662,GO:0071704,GO:0071949,GO:0072329,GO:0097159,GO:1901265,GO:1901363,GO:1901575,GO:1901615,GO:1901616,GO:1901681",4.1.1.47,ko:K01608,"ko00630,ko01100,map00630,map01100",-,R00013,RC00899,"ko00000,ko00001,ko01000",-,-,"iEcHS_1320.EcHS_A0581,iSFV_1184.SFV_0474","TPP_enzyme_C,TPP_enzyme_M,TPP_enzyme_N"
b0508,U00096.3,535710,536486,+,hyi,,hydroxypyruvate isomerase,AAC73610.1,316407.85674646,2.4300000000000002e-198,548.0,"COG3622@1|root,COG3622@2|Bacteria,1MV53@1224|Proteobacteria,1RQF9@1236|Gammaproteobacteria,3XQA5@561|Escherichia",2|Bacteria,G,"Catalyzes the reversible isomerization between hydroxypyruvate and 2-hydroxy-3-oxopropanoate (also termed tartronate semialdehyde). Does not catalyze the isomerization of D-fructose to D-glucose or that of D-xylulose to D-xylose. Also does not catalyze racemization of serine, alanine, glycerate or lactate",hyi,"GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0006081,GO:0006082,GO:0008150,GO:0008152,GO:0008903,GO:0009987,GO:0016853,GO:0016860,GO:0016861,GO:0019752,GO:0032787,GO:0042802,GO:0042803,GO:0043436,GO:0044237,GO:0044281,GO:0046487,GO:0046983,GO:0071704","5.3.1.22,5.3.1.35","ko:K01816,ko:K22131","ko00630,ko01100,map00630,map01100",-,R01394,RC00511,"ko00000,ko00001,ko01000",-,-,"iECO103_1326.ECO103_0481,iECO111_1330.ECO111_0541,iECO26_1355.ECO26_0541",AP_endonuc_2
b0509,U00096.3,536586,537464,+,glxR,,tartronate semialdehyde reductase 2,AAC73611.1,316407.85674647,3.17e-202,560.0,"COG2084@1|root,COG2084@2|Bacteria,1MUGU@1224|Proteobacteria,1RQ2D@1236|Gammaproteobacteria,3XQ73@561|Escherichia",2|Bacteria,I,2-hydroxy-3-oxopropionate reductase,glxR,"GO:0000255,GO:0000256,GO:0003674,GO:0003824,GO:0006081,GO:0006082,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008679,GO:0009056,GO:0009436,GO:0009442,GO:0009987,GO:0016054,GO:0016491,GO:0016614,GO:0016616,GO:0017144,GO:0019752,GO:0032787,GO:0033554,GO:0034641,GO:0042737,GO:0043436,GO:0043603,GO:0043605,GO:0044237,GO:0044248,GO:0044270,GO:0044281,GO:0044282,GO:0046185,GO:0046395,GO:0046483,GO:0046487,GO:0046700,GO:0050896,GO:0051716,GO:0055114,GO:0071704,GO:0072329,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575","1.1.1.411,1.1.1.60","ko:K00042,ko:K08319","ko00630,ko01100,map00630,map01100",-,"R01745,R01747",RC00099,"ko00000,ko00001,ko01000",-,-,-,"NAD_binding_11,NAD_binding_2"
